Date,Open,High,Low,Close,Adj Close,Volume
2020-06-25,272.709991,276.299988,269.820007,276.079987,276.079987,629900
2020-06-26,275.500000,276.019989,269.910004,270.980011,270.980011,879700
2020-06-29,271.279999,273.739990,267.459991,273.739990,273.739990,868600
2020-06-30,273.609985,279.510010,273.529999,278.709991,278.709991,748400
2020-07-01,278.649994,280.890015,277.529999,279.369995,279.369995,945600
2020-07-02,281.959991,283.299988,280.239990,280.899994,280.899994,820600
2020-07-06,284.459991,287.190002,284.119995,285.339996,285.339996,780700
2020-07-07,284.950012,288.119995,282.359985,282.720001,282.720001,788000
2020-07-08,284.670013,287.630005,283.609985,287.630005,287.630005,566000
2020-07-09,290.000000,290.059998,284.410004,288.790009,288.790009,602700
2020-07-10,288.170013,288.600006,285.279999,288.230011,288.230011,583700
